Identifiant_de_l_etablissement;Type_etablissement;Statut_public_prive;Type_contrat_prive;Nom_etablissement;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Libelle_departement;Code_academie;Libelle_academie;Code_region;Libelle_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Lycee_des_metiers;Apprentissage;Segpa;Post_BAC;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Nombre_d_eleves;GRETA;SIREN_SIRET;Fiche_onisep;Appartenance_Education_Prioritaire;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;position;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature
0594092C;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Notre-Dame de Lourdes;6 rue R�my Goetgheluck ;;59114 STEENVOORDE;59114;59580;Steenvoorde;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0328433313;;;ce.0594092c@ac-lille.fr;1;0;0;;;;;;;;;;;;;185;;34028985900027;;;670368.4;7079491.8;EPSG:2154;Circonscription d'inspection du 1er degr� de Dunkerque-Hazebrouck;50.811156291791264;2.580396024273598;50.811156291791264,2.580396024273598;Num�ro de rue;1971-03-26;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594093D;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Saint Joseph;10 rue du Stade ;;59181 STEENWERCK;59181;59581;Steenwerck;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0328499592;;;ce.0594093d@ac-lille.fr;1;0;0;;;;;;;;;;;;;120;;30354512300018;;;684323.8;7067010.2;EPSG:2154;Circonscription d'inspection du 1er degr� de Dunkerque-Bailleul;50.69967263258386;2.7785084322248905;50.69967263258386,2.7785084322248905;Num�ro de rue;1971-03-26;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594096G;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Notre-Dame du Joyel;2 GRAND PLACE ;;59189 THIENNES;59189;59590;Thiennes;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0328436558;;;ce.0594096g@ac-lille.fr;1;0;0;;;;;;;;;;;;;66;;ZA383629900017;;;662164.8;7061597.9;EPSG:2154;Circonscription d'inspection du 1er degr� de Dunkerque-Hazebrouck;50.65015329820768;2.465944290922935;50.65015329820768,2.465944290922935;Num�ro de rue;1971-03-26;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594097H;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Sainte Clotilde;4 rue du Docteur Schweitzer ;;59200 TOURCOING;59200;59599;Tourcoing;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320767389;;;ce.0594097h@ac-lille.fr;1;0;0;;;;;;;;;;;;;135;;78385147000014;;;712857.8;7071511.3;EPSG:2154;Circonscription d'inspection du 1er degr� de Tourcoing-Est;50.740125975783485;3.1818165296220426;50.740125975783485,3.1818165296220426;Num�ro de rue;1971-03-31;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594101M;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole maternelle priv�e Sainte Ad�le;36 boulevard de l'Egalit� ;;59200 TOURCOING;59200;59599;Tourcoing;59;Nord;09;Lille;32;Hauts-de-France;1;0;;;;0320252603;;;ce.0594101m@ac-lille.fr;0;0;0;;;;;;;;;;;;;141;;78385142100017;;;711876.3;7070341.5;EPSG:2154;Circonscription d'inspection du 1er degr� de Tourcoing-Est;50.72964899081633;3.167902437343353;50.72964899081633,3.167902437343353;Num�ro de rue;1971-03-26;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE
0594104R;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Saint Christophe;18 rue du Commandant Driant ;;59200 TOURCOING;59200;59599;Tourcoing;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320250383;;;ce.0594104r@ac-lille.fr;1;0;0;;;;;;;;;;;;;269;;78385122300025;;;711846.8;7069517.0;EPSG:2154;Circonscription d'inspection du 1er degr� de Tourcoing-Est;50.72225130340233;3.1674606587114784;50.72225130340233,3.1674606587114784;Num�ro de rue;1971-03-29;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594108V;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e catholique Fran�oise Dolto;20 all�e Jules Steelandt ;;59200 TOURCOING;59200;59599;Tourcoing;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320266150;;;ce.0594108v@ac-lille.fr;1;0;0;;;;;;;;;;;;;152;;78385123100010;;;710527.8;7068773.4;EPSG:2154;Circonscription d'inspection du 1er degr� de Tourcoing-Ouest;50.71560259999103;3.148796149793354;50.71560259999103,3.148796149793354;Num�ro de rue;1971-03-26;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594109W;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Saint Raphael;27 rue du Blanc Seau ;;59200 TOURCOING;59200;59599;Tourcoing;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320263558;;;ce.0594109w@ac-lille.fr;1;0;0;;;;;;;;;;;;;365;;78385144700012;;;711226.1;7068003.4;EPSG:2154;Circonscription d'inspection du 1er degr� de Tourcoing-Ouest;50.7086810353621;3.15864378098509;50.7086810353621,3.15864378098509;Num�ro de rue;1971-03-26;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594114B;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Saint Jean;111 rue de Roncq ;;59200 TOURCOING;59200;59599;Tourcoing;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320944101;;;ce.0594114b@ac-lille.fr;1;0;0;;;;;;;;;;;;;236;;37812185900011;;;710437.4;7070647.7;EPSG:2154;Circonscription d'inspection du 1er degr� de Tourcoing-Est;50.732422298546446;3.1475679783108452;50.732422298546446,3.1475679783108452;Num�ro de rue;1971-03-26;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594115C;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Saint Pierre;85 rue du Bois ;;59200 TOURCOING;59200;59599;Tourcoing;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320945060;;;ce.0594115c@ac-lille.fr;1;0;0;;;;;;;;;;;;;211;;30660825800027;;;710086.1;7069655.2;EPSG:2154;Circonscription d'inspection du 1er degr� de Tourcoing-Ouest;50.72352239618879;3.142575837696415;50.72352239618879,3.142575837696415;Num�ro de rue;1971-03-26;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594118F;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Sainte Marie;38 rue Chevalier de la Barre ;;59184 SAINGHIN EN WEPPES;59184;59524;Sainghin-en-Weppes;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320584612;;;ce.0594118f@ac-lille.fr;1;0;0;;;;;;;;;;;;;177;;78381037700011;;;693090.5;7051648.5;EPSG:2154;Circonscription d'inspection du 1er degr� de Lille2-Annoeullin;50.56197115097043;2.9026419627173605;50.56197115097043,2.9026419627173605;Num�ro de rue;1971-03-26;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594120H;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Notre-Dame;15 rue du Marquis ;;59300 VALENCIENNES;59300;59606;Valenciennes;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327461970;;;ce.0594120h@ac-lille.fr;1;0;0;;;;;;;;;;;;;521;;31418714700017;;;738595.3;7029582.5;EPSG:2154;Circonscription d'inspection du 1er degr� de Valenciennes-Centre;50.362745831493676;3.541684377168599;50.362745831493676,3.541684377168599;Num�ro de rue;1971-03-29;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594121J;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Saint Jean-Baptiste de La Salle;8 impasse des Cardinaux ;;59300 VALENCIENNES;59300;59606;Valenciennes;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327463307;;;ce.0594121j@ac-lille.fr;1;0;0;;;;;;;;;;;;;441;;33250816700027;;;737091.5;7028654.2;EPSG:2154;Circonscription d'inspection du 1er degr� de Valenciennes-Centre;50.35450273117914;3.520493314393424;50.35450273117914,3.520493314393424;Num�ro de rue;1971-03-26;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594122K;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Sainte Marie;9 rue du Beau Rang ;;59237 VERLINGHEM;59237;59611;Verlinghem;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320088475;;;ce.0594122k@ac-lille.fr;1;0;0;;;;;;;;;;;;;204;;78386592600019;;;699547.7;7064805.6;EPSG:2154;Circonscription d'inspection du 1er degr� de Lille2-Lomme;50.68008674022856;2.993611883319572;50.68008674022856,2.993611883319572;Num�ro de rue;1971-03-24;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594123L;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Sainte Marguerite-Marie;26 rue de la Gare ;;59232 VIEUX BERQUIN;59232;59615;Vieux-Berquin;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0328427009;;;ce.0594123l@ac-lille.fr;1;0;0;;;;;;;;;;;;;50;;34266242600010;;;674823.0;7066631.5;EPSG:2154;Circonscription d'inspection du 1er degr� de Dunkerque-Bailleul;50.69596282831542;2.6442956676627807;50.69596282831542,2.6442956676627807;Num�ro de rue;1971-03-26;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594125N;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Notre-Dame;29 bis rue Pasteur ;;59650 VILLENEUVE D ASCQ;59650;59009;Villeneuve-d'Ascq;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320913577;;;ce.0594125n@ac-lille.fr;1;0;0;;;;;;;;;;;;;322;;31305393600016;;;710856.9;7058866.5;EPSG:2154;Circonscription d'inspection du 1er degr� de Lille3-Villeneuve d'Ascq Sud;50.62669488296327;3.15317590010748;50.62669488296327,3.15317590010748;Num�ro de rue;1971-03-29;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594126P;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Saint Adrien La Salle;15 rue Jean-Baptiste de la Salle ;BP 167;59653 VILLENEUVE D ASCQ CEDEX;59653;59009;Villeneuve-d'Ascq;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320190028;;;ce.0594126p@ac-lille.fr;1;0;0;;;;;;;;;;;;;470;;78349614400032;;;710619.3;7059093.8;EPSG:2154;Circonscription d'inspection du 1er degr� de Lille3-Villeneuve d'Ascq Sud;50.62873883954925;3.1498297846196275;50.62873883954925,3.1498297846196275;Num�ro de rue;1971-03-26;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594127R;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Saint Joseph;7 avenue du Mar�chal Foch ;;59142 VILLERS OUTREAUX;59142;59624;Villers-Outr�aux;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327820246;;;ce.0594127r@ac-lille.fr;1;0;0;;;;;;;;;;;;;181;;78387048800021;;;721459.6;6992548.2;EPSG:2154;Circonscription d'inspection du 1er degr� de Cambrai-Sud;50.031010334945016;3.299218744523699;50.031010334945016,3.299218744523699;Num�ro de rue;1971-03-26;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594128S;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Saint Joseph;5 rue Merrheim ;;59135 WALLERS;59135;59632;Wallers;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327356834;;;ce.0594128s@ac-lille.fr;1;0;0;;;;;;;;;;;;;271;;78387257500015;;;727606.4;7030767.3;EPSG:2154;Circonscription d'inspection du 1er degr� de Valenciennes Anzin;50.3739628852755;3.3875399331299887;50.3739628852755,3.3875399331299887;Num�ro de rue;1971-03-29;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594129T;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Saint Vaast Robersart;170 rue de l'Agrippin ;;59118 WAMBRECHIES;59118;59636;Wambrechies;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320788484;;;ce.0594129t@ac-lille.fr;1;0;0;;;;;;;;;;;;;231;;78387379700022;;;703266.6;7065536.7;EPSG:2154;Circonscription d'inspection du 1er degr� de Lille1-Lambersart;50.686638943551095;3.0461422701116754;50.686638943551095,3.0461422701116754;Num�ro de rue;1971-03-29;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594130U;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e La Providence;39 rue de Marquette ;;59118 WAMBRECHIES;59118;59636;Wambrechies;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320397228;;;ce.0594130u@ac-lille.fr;1;0;1;;;;;;;;;;;;;210;;78387379700014;;;704083.5;7065741.1;EPSG:2154;Circonscription d'inspection du 1er degr� de Lille1-Lambersart;50.688468317543915;3.057683474497562;50.688468317543915,3.057683474497562;Num�ro de rue;1971-03-29;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594131V;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Notre-Dame;4 rue de Tourcoing ;BP 11;59290 WASQUEHAL;59290;59646;Wasquehal;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320245658;;;ce.0594131v@ac-lille.fr;1;0;0;;;;;;;;;;;;;172;;34268435400018;;;710216.9;7065716.0;EPSG:2154;Circonscription d'inspection du 1er degr� de Roubaix-Wasquehal;50.68817268069372;3.1443230299641565;50.68817268069372,3.1443230299641565;Num�ro de rue;1971-03-29;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594132W;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Notre-Dame;42 rue de l'Yser ;;59139 WATTIGNIES;59139;59648;Wattignies;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320963342;;;ce.0594132w@ac-lille.fr;1;0;0;;;;;;;;;;;;;196;;78387864800014;;;702778.9;7053778.5;EPSG:2154;Circonscription d'inspection du 1er degr� de Lille3-Wattignies;50.58112012761135;3.0391708858860067;50.58112012761135,3.0391708858860067;Num�ro de rue;1971-03-29;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594133X;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Notre-Dame de La Mousserie;Rue Henri Matisse ;;59150 WATTRELOS;59150;59650;Wattrelos;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320263817;;;ce.0594133x@ac-lille.fr;1;0;0;;;;;;;;;;;;;321;;78388346500024;;;712617.9;7068217.4;EPSG:2154;Circonscription d'inspection du 1er degr� de Roubaix-Wattrelos;50.71057465975809;3.1783190353410746;50.71057465975809,3.1783190353410746;Num�ro de rue;1971-03-31;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594137B;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Immacul�e-Conception;13 rue du Fouath ;;59136 WAVRIN;59136;59653;Wavrin;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320587325;;;ce.0594137b@ac-lille.fr;1;0;0;;;;;;;;;;;;;218;;78388490100027;;;695672.3;7052838.6;EPSG:2154;Circonscription d'inspection du 1er degr� de Lille2-Annoeullin;50.57267569551905;2.939007742258197;50.57267569551905,2.939007742258197;Num�ro de rue;1971-03-29;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594140E;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Sainte Marie;4 boulevard des Ecoles ;;59780 WILLEMS;59780;59660;Willems;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320793302;;;ce.0594140e@ac-lille.fr;1;0;0;;;;;;;;;;;;;112;;78388774800011;;;716869.9;7059461.5;EPSG:2154;Circonscription d'inspection du 1er degr� de Roubaix-Hem;50.63190091542338;3.238035928852677;50.63190091542338,3.238035928852677;Num�ro de rue;1971-03-29;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594142G;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Saint Joseph;16 rue de l'Eglise ;;59470 WORMHOUT;59470;59663;Wormhout;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0328629957;;;ce.0594142g@ac-lille.fr;1;0;0;;;;;;;;;;;;;243;;78388860500038;;;662384.7;7087366.2;EPSG:2154;Circonscription d'inspection du 1er degr� de Dunkerque Wormhout;50.88136707488882;2.4665911309783604;50.88136707488882,2.4665911309783604;Num�ro de rue;1971-03-22;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594147M;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Saint Joseph;7 rue des Remparts ;;59360 LE CATEAU CAMBRESIS;59360;59136;Le Cateau-Cambr�sis;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327841058;;;ce.0594147m@ac-lille.fr;1;0;0;;;;;;;;;;;;;188;;78354984300028;;;738990.8;7001019.9;EPSG:2154;Circonscription d'inspection du 1er degr� de Cambrai-Le Cateau;50.106254920841636;3.5444709183011036;50.106254920841636,3.5444709183011036;Num�ro de rue;1971-04-06;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594248X;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Notre-Dame;18 rue de Wailly ;;59200 TOURCOING;59200;59599;Tourcoing;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320267149;;;ce.0594248x@ac-lille.fr;1;0;0;;;;;;;;;;;;;477;;31735669900015;;;711089.8;7069604.8;EPSG:2154;Circonscription d'inspection du 1er degr� de Tourcoing-Est;50.723053083391115;3.156762564325144;50.723053083391115,3.156762564325144;Num�ro de rue;1971-07-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594373H;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole maternelle priv�e Saint Nicolas;191 avenue de Verdun ;;59100 ROUBAIX;59100;59512;Roubaix;59;Nord;09;Lille;32;Hauts-de-France;1;0;;;;0320752445;;;ce.0594373h@ac-lille.fr;1;0;0;;;;;;;;;;;;;71;;78380473500182;;;714448.4;7065050.5;EPSG:2154;Circonscription d'inspection du 1er degr� de Roubaix Ouest;50.6821170068034;3.2040723036723784;50.6821170068034,3.2040723036723784;Num�ro de rue;1972-10-11;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE
0594493N;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Ren� Bonpain;2 rue George Sand ;;59760 GRANDE SYNTHE;59760;59271;Grande-Synthe;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0328216710;;;ce.0594493n@ac-lille.fr;0;0;0;;;;;;;;;;;;;273;;78360271700010;;;651368.7;7102641.0;EPSG:2154;Circonscription d'inspection du 1er degr� de Dunkerque Gravelines;51.017610573182026;2.30848743163304;51.017610573182026,2.30848743163304;Num�ro de rue;1973-05-03;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594859L;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Lacordaire;106 RUE DU BAILLY ;;59960 NEUVILLE EN FERRAIN;59960;59426;Neuville-en-Ferrain;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320030709;;;ce.0594859l@ac-lille.fr;1;0;0;;;;;;;;;;;;;264;;78375881600046;;;711181.3;7071889.5;EPSG:2154;Circonscription d'inspection du 1er degr� de Tourcoing-Roncq;50.74355186813749;3.1581206532085844;50.74355186813749,3.1581206532085844;Num�ro de rue;1975-12-08;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0594995J;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Cardinal Lienart;12 rue Tr�mi�re ;;59650 VILLENEUVE D ASCQ;59650;59009;Villeneuve-d'Ascq;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320914686;;;ce.0594995j@ac-lille.fr;1;0;0;;;;;;;;;;;;;230;;34266437200014;;;709739.2;7058493.2;EPSG:2154;Circonscription d'inspection du 1er degr� de Lille3-Villeneuve d'Ascq Sud;50.623363207361926;3.1373975624346406;50.623363207361926,3.1373975624346406;Rue;1976-09-06;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0595011B;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole maternelle priv�e Sainte Genevi�ve;229 rue de la Vall�e ;;59510 HEM;59510;59299;Hem;59;Nord;09;Lille;32;Hauts-de-France;1;0;;;;0320830132;;;ce.0595011b@ac-lille.fr;1;0;0;;;;;;;;;;;;;111;;78380473500273;;;713771.1;7062246.4;EPSG:2154;Circonscription d'inspection du 1er degr� de Roubaix-Hem;50.6569690144658;3.194408502164596;50.6569690144658,3.194408502164596;Num�ro de rue;1976-11-25;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE
0595429F;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e La Providence;10 RUE DE LA PERCHE ;;59640 DUNKERQUE;59640;59183;Dunkerque;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0328253456;;;ce.0595429f@ac-lille.fr;1;0;0;;;;;;;;;;;;;271;;78360270900017;;;652262.2;7102794.6;EPSG:2154;Circonscription d'inspection du 1er degr� de Dunkerque Saint Pol;51.01905768853423;2.321173143358212;51.01905768853423,2.321173143358212;Num�ro de rue;1980-02-28;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0595976A;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Saint Ignace;19 bis rue de Linselles ;;59166 BOUSBECQUE;59166;59098;Bousbecque;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320236073;;;ce.0595976a@ac-lille.fr;1;0;0;;;;;;;;;;;;;335;;78353088400031;;;705551.6;7074855.7;EPSG:2154;Circonscription d'inspection du 1er degr� de Tourcoing-Roncq;50.770242108856905;3.0785499065157884;50.770242108856905,3.0785499065157884;Num�ro de rue;1992-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0595977B;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Notre-Dame de Lourdes;2 place Saint-Vaast ;;59940 ESTAIRES;59940;59212;Estaires;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0328438986;;;ce.0595977b@ac-lille.fr;1;0;0;;;;;;;;;;;;;322;;78361038900042;;;680407.9;7060723.2;EPSG:2154;Circonscription d'inspection du 1er degr� de Dunkerque-Bailleul;50.64314403045321;2.723491515897352;50.64314403045321,2.723491515897352;Num�ro de rue;1992-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0595978C;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Saint Michel;159 boulevard des Alli�s ;;59148 FLINES LEZ RACHES;59148;59239;Flines-lez-Raches;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327891041;;;ce.0595978c@ac-lille.fr;1;0;0;;;;;;;;;;;;;125;;78361987700021;;;712532.9;7036925.9;EPSG:2154;Circonscription d'inspection du 1er degr� de Douai-Cuincy;50.42973291961487;3.176131401601802;50.42973291961487,3.176131401601802;Num�ro de rue;1992-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
